name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
Lemon Grass Durgapur," SUHATTA MALL, 6/13, Shahid Khudiram Sarani, City Center, Durgapur, West Bengal 713216",074074 75555,https://lemongrassrestaurant.in/,3.9,1938,Chinese restaurant,,·₹₹,https://www.google.com/maps/place/Lemon+Grass+Durgapur/data=!4m7!3m6!1s0x39f7721b297cc307:0x37bb576b740b03c6!8m2!3d23.5371313!4d87.2944683!16s%2Fg%2F11dxjv9368!19sChIJB8N8KRty9zkRxgMLdGtXuzc?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:13:55.664855,23.5371313,87.2944683
Barbeque Nation - Durgapur," First floor, Pushpanjali Building, Shahid Khudiram Sarani, City Center, Durgapur, West Bengal 713216",080 6902 8735,https://www.barbequenation.com/restaurants/durgapur/durgapur?utm_source=GMB&utm_medium=durgapur&utm_campaign=GMB_durgapur,3.9,1938,North Indian restaurant,,"·₹800–1,000",https://www.google.com/maps/place/Barbeque+Nation+-+Durgapur/data=!4m7!3m6!1s0x39f773bdaa43fd53:0x4f133978069b4bb4!8m2!3d23.5383091!4d87.2938036!16s%2Fg%2F11fj3m1mn0!19sChIJU_1Dqr1z9zkRtEubBng5E08?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:14:01.603314,23.5383091,87.2938036
"Margarita , Durgapur"," Next HDFC ATM, Abanindranath, Aayakar Bithi, next to Big Bazaar, City Center, Durgapur, West Bengal 713216",080160 64888,https://www.swiggy.com/city/durgapur/chinese-bowls-by-marga-rita-cafe-city-centre-city-centre-rest1079363?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.1,3055,Italian restaurant,,·₹200–400,"https://www.google.com/maps/place/Margarita+,+Durgapur/data=!4m7!3m6!1s0x39f77169c8d68bf9:0xcd923bc9470f43e1!8m2!3d23.5372618!4d87.2973918!16s%2Fg%2F11qg99_wgx!19sChIJ-YvWyGlx9zkR4UMPR8k7ks0?authuser=0&hl=en&rclk=1",Durgapur Restaurant,2025-06-27T20:14:47.832660,23.5372618,87.2973918
Bhooter Raja Dilo Bor - Durgapur," Rajkutir, A3, Satyajit Roy Sarani, Doctor's Colony, City Center, Durgapur, West Bengal 713216",084200 37575,https://bhooterrajadilobor.com/,3.9,1860,Bengali restaurant,,·₹₹,https://www.google.com/maps/place/Bhooter+Raja+Dilo+Bor+-+Durgapur/data=!4m7!3m6!1s0x39f7733f5a60a3e1:0x8ffd3d64c9958c04!8m2!3d23.5384063!4d87.2991178!16s%2Fg%2F11txp97v1h!19sChIJ4aNgWj9z9zkRBIyVyWQ9_Y8?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:17:25.157513,23.5384063,87.2991178
Ananya's Multicuisine Restaurant," Ground floor, ADDA 3rd Administrative Building, City Center, Durgapur, West Bengal 713216",074074 05555,https://bit.ly/ananyasmenu,4.1,3055,North Indian restaurant,,·₹200–400,https://www.google.com/maps/place/Ananya%27s+Multicuisine+Restaurant/data=!4m7!3m6!1s0x39f7721b5408c903:0x6294f8b81c75e474!8m2!3d23.537505!4d87.2962757!16s%2Fg%2F1tv22ksy!19sChIJA8kIVBty9zkRdOR1HLj4lGI?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:17:55.712830,23.537505,87.2962757
PUNJABI MASALA - The Family Dhaba," Ra-78, S.S.B, Saptarshi Sarani, Bidhannagar, Durgapur, West Bengal 713212",070015 82159,https://www.swiggy.com/city/durgapur/punjabi-masala-ssb-sarani--city-centre-rest187187?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.2,,Punjabi restaurant,,·₹200–400,https://www.google.com/maps/place/PUNJABI+MASALA+-+The+Family+Dhaba/data=!4m7!3m6!1s0x39f771453e9331e7:0xddebe01178c8f94d!8m2!3d23.5153894!4d87.3505409!16s%2Fg%2F11h42mjvqy!19sChIJ5zGTPkVx9zkRTfnIeBHg690?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:18:58.136086,23.5153894,87.3505409
The One," 4th Floor, Raj Sammilonee Mall Anuradha Cinema Hall Plot, Ananda Gopal Mukherjee Sarani Rd, Benachity, Durgapur, West Bengal 713213",,http://www.morveehotels.com/,4.4,1706,Indian restaurant,,,https://www.google.com/maps/place/The+One/data=!4m7!3m6!1s0x39f76d623082a6e5:0xfad9ab40c38c1205!8m2!3d23.5579174!4d87.2753207!16s%2Fg%2F11qq2tclqb!19sChIJ5aaCMGJt9zkRBRKMw0Cr2fo?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:22:47.766452,23.5579174,87.2753207
