name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
Yauatcha Mumbai," Raheja Tower, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",092222 22800,https://yauatcha.com/mumbai/,4.7,8329,Chinese restaurant,,"·₹2,000+",https://www.google.com/maps/place/Yauatcha+Mumbai/data=!4m7!3m6!1s0x3be7c8e7f9f0767f:0x7416ff01ce7ad4b5!8m2!3d19.0609124!4d72.8629578!16s%2Fg%2F1pzqzn1lm!19sChIJf3bw-efI5zsRtdR6zgH_FnQ?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-26T23:32:59.404929,19.0609124,72.8629578
The Bombay Canteen," Unit-1, Process House, S.B. Road, Kamala Mills, Near Radio Mirchi Office Lower, Parel, Mumbai, Maharashtra 400013",088808 02424,https://thebombaycanteen.com/,4.3,3164,Modern Indian restaurant,,·₹₹₹,https://www.google.com/maps/place/The+Bombay+Canteen/data=!4m7!3m6!1s0x3be7ce8c350898ed:0x664c7200a24a00a9!8m2!3d19.003245!4d72.827576!16s%2Fg%2F11b75jff6j!19sChIJ7ZgINYzO5zsRqQBKogByTGY?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-26T23:35:07.342783,19.003245,72.827576
Trèsind Mumbai," Ground Floor Inspire BKC E, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",089280 00058,https://www.tresind.com/mumbai,4.5,2019,Fine dining restaurant,,"·₹2,000+",https://www.google.com/maps/place/Tr%C3%A8sind+Mumbai/data=!4m7!3m6!1s0x3be7c98c8d8c3247:0x13861a5b69cc7173!8m2!3d19.0635387!4d72.8576059!16s%2Fg%2F11f7tldq34!19sChIJRzKMjYzJ5zsRc3HMaVsahhM?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-26T23:37:13.820942,19.0635387,72.8576059
Ziya Restaurant," The Oberoi, Mumbai, Nariman Point, Mumbai, Maharashtra 400021",022 6632 6210,https://www.oberoihotels.com/hotels-in-mumbai/restaurants/ziya?utm_source=GMBlisting&utm_medium=organic,4.3,4152,North Indian restaurant,,·₹₹₹₹,https://www.google.com/maps/place/Ziya+Restaurant/data=!4m7!3m6!1s0x3be7d1ef274902ed:0x9bd046edc1058823!8m2!3d18.9267987!4d72.8203461!16s%2Fg%2F124sxncs9!19sChIJ7QJJJ-_R5zsRI4gFwe1G0Js?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-26T23:37:19.673471,18.9267987,72.8203461
La Loca Maria," Fatima villa, 29th Rd, Bandra West, Mumbai, Maharashtra 400050",093244 04335,https://www.lalocamaria.in/,4.2,2042,Spanish restaurant,,"·₹2,000+",https://www.google.com/maps/place/La+Loca+Maria/data=!4m7!3m6!1s0x3be7c91da0342953:0x785236e16e55c891!8m2!3d19.0615086!4d72.8300866!16s%2Fg%2F11h4mv2by6!19sChIJUyk0oB3J5zsRkchVbuE2Ung?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-26T23:37:26.990878,19.0615086,72.8300866
"Bastian, Bandra"," Kamal Building, B/1, New, Linking Rd, next to Burger King, Bandra West, Mumbai, Maharashtra 400050",022 5033 3555,https://www.google.co.in/intl/en/about/products?tab=lh,3.7,2654,Seafood restaurant,,"·₹2,000+","https://www.google.com/maps/place/Bastian,+Bandra/data=!4m7!3m6!1s0x3be7c916b49b79c3:0x3a8677901bc45e4f!8m2!3d19.0635251!4d72.8348721!16s%2Fg%2F11cn5s7pzz!19sChIJw3mbtBbJ5zsRT17EG5B3hjo?authuser=0&hl=en&rclk=1",restaurants in Mumbai,2025-06-26T23:39:34.235895,19.0635251,72.8348721
Tanatan Juhu - Kitchen & Bar," 462, AB Nair Rd, opposite Novotel, Juhu, Mumbai, Maharashtra 400049",022 6715 9225,https://tanatan.co/,4.5,3510,Punjabi restaurant,,·₹₹₹,https://www.google.com/maps/place/Tanatan+Juhu+-+Kitchen+%26+Bar/data=!4m7!3m6!1s0x3be7c9e80c5b51a5:0xcfab16ca1e300280!8m2!3d19.1092351!4d72.825512!16s%2Fg%2F11gdqtrlmz!19sChIJpVFbDOjJ5zsRgAIwHsoWq88?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-26T23:40:11.235936,19.1092351,72.825512
O Pedro - BKC," Jet Airways, 2, Godrej BKC, Plot No C-68, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",075065 25554,https://www.opedromumbai.com/,4.3,1034,Goan restaurant,,·₹₹₹,https://www.google.com/maps/place/O+Pedro+-+BKC/data=!4m7!3m6!1s0x3be7c8c2c010b011:0xf8ee113451af419a!8m2!3d19.059363!4d72.864943!16s%2Fg%2F11f123t4tb!19sChIJEbAQwMLI5zsRmkGvUTQR7vg?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-26T23:40:18.126382,19.059363,72.864943
