name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
Banjara Multi Cuisine Restaurant," FIRE BRIGADE HEAD QUARTERS, 15, Mirza Ghalib St, near DHARMTALA, New Market Area, Janbazar, Taltala, Kolkata, West Bengal 700016",083358 46553,https://www.swiggy.com/city/kolkata/banjara-borough-vi-esplanade-rest428862?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.2,3175,Biryani restaurant,,,https://www.google.com/maps/place/Banjara+Multi+Cuisine+Restaurant/data=!4m7!3m6!1s0x3a0277ef65bcd7fb:0x26e43944fe054a33!8m2!3d22.5572693!4d88.3547623!16s%2Fg%2F11r_k7qr8t!19sChIJ-9e8Ze93AjoRM0oF_kQ55CY?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:10:22.350352,22.5572693,88.3547623
Alfresco," 1,2,3, Old Court House Street, Dalhousie Square, Kolkata, West Bengal 700069",033 4444 7777,http://www.thelalit.com/the-lalit-great-eastern-kolkata/dining-en.html#item4,4.1,2261,Buffet restaurant,,·₹₹₹,https://www.google.com/maps/place/Alfresco/data=!4m7!3m6!1s0x3a0277a6f2a6ad4d:0x5e8d3767ecb6ce4c!8m2!3d22.5681938!4d88.349928!16s%2Fg%2F11bbt9snrk!19sChIJTa2m8qZ3AjoRTM627Gc3jV4?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:12:30.143075,22.5681938,88.349928
Mocambo Restaurant and Bar," Ground Floor, 25B, Mirza Ghalib St, Taltala, Kolkata, West Bengal 700016",033 4065 5380,https://swiggy.onelink.me/BVRZ?af_dp=swiggydiners://details/4484?source=GoogleReserve&af_ios_url=https://www.swiggy.com/restaurants/mocambo-park-street-central-kolkata-kolkata-4484/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve&af_android_url=https://www.swiggy.com/restaurants/mocambo-park-street-central-kolkata-kolkata-4484/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve&af_web_dp=https://www.swiggy.com/restaurants/mocambo-park-street-central-kolkata-kolkata-4484/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve,4.5,7548,Continental restaurant,,·₹₹₹,https://www.google.com/maps/place/Mocambo+Restaurant+and+Bar/data=!4m7!3m6!1s0x3a02770560e5efc5:0x6c123526196a3c3f!8m2!3d22.5532545!4d88.3531098!16s%2Fg%2F11c1p1qkh9!19sChIJxe_lYAV3AjoRPzxqGSY1Emw?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:12:36.629277,22.5532545,88.3531098
Arsalan Restaurant & Caterer - Park Circus," 191, 7 Point, Marina garden court, Park Circus, Ballygunge, Kolkata, West Bengal 700017",090070 07942,https://arsalanrestaurants.com/park-circus/,4.9,12,Indian restaurant,,·₹200–600,https://www.google.com/maps/place/Arsalan+Restaurant+%26+Caterer+-+Park+Circus/data=!4m7!3m6!1s0x3a0277056d20d12b:0x8f2323c380b87edf!8m2!3d22.543711!4d88.365902!16s%2Fg%2F1hm1t_jh1!19sChIJK9EgbQV3AjoR3364gMMjI48?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:13:14.530868,22.543711,88.365902
Elahi Luxury Dining," 1/1D, Muzaffar Ahmed St, Esplanade, Taltala, Kolkata, West Bengal 700016",074395 54163,http://www.elahiluxurydining.in/,4.2,942,Fine dining restaurant,,·₹₹,https://www.google.com/maps/place/Elahi+Luxury+Dining/data=!4m7!3m6!1s0x3a02770c7aa6eb3d:0x80d82244ecf19b6c!8m2!3d22.5537835!4d88.3545189!16s%2Fg%2F11tr_7tqbr!19sChIJPeumegx3AjoRbJvx7EQi2IA?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:13:20.796516,22.5537835,88.3545189
The Bridge," 17, Park St, Taltala, Kolkata, West Bengal 700016",,http://bars-pubs.socialgoat.in/kolkata/outlet/the-bridge-park-street-area,4.5,7548,Buffet restaurant,,·₹₹₹,https://www.google.com/maps/place/The+Bridge/data=!4m7!3m6!1s0x3a02770f9edcd42d:0x8c11c74d967ff6a0!8m2!3d22.5540619!4d88.3517218!16s%2Fg%2F11bbt3jyht!19sChIJLdTcng93AjoRoPZ_lk3HEYw?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:15:29.505049,22.5540619,88.3517218
Rasu's The Spice Station pure veg," P/7/A, CIT Rd, Scheme VI-M, Kadapara, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054",099035 10789,https://www.google.co.in/intl/en/about/products?tab=lh,4.1,2346,Vegetarian restaurant,,·₹200–400,https://www.google.com/maps/place/Rasu%27s+The+Spice+Station+pure+veg/data=!4m7!3m6!1s0x3a02778a885ba7fd:0xedbc8bd2a16acd22!8m2!3d22.5721708!4d88.3905922!16s%2Fg%2F11pc9l__mk!19sChIJ_adbiIp3AjoRIs1qodKLvO0?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:17:37.087705,22.5721708,88.3905922
Sufi Palace," 113, Mahatma Gandhi Rd, College Street Market, College Street, Kolkata, West Bengal 700007",084500 77775,https://www.google.co.in/intl/en/about/products?tab=lh,4.2,1942,Mughlai restaurant,,·₹200–400,https://www.google.com/maps/place/Sufi+Palace/data=!4m7!3m6!1s0x3a0277b2d9484a77:0x620052fc3a6a21!8m2!3d22.5785157!4d88.3619813!16s%2Fg%2F11c72rpxr9!19sChIJd0pI2bJ3AjoRIWo6_FIAYgA?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T23:18:13.688173,22.5785157,88.3619813
