name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
OneBite Memari," 53GV+PPG, Memari Bus Stand Ln, Memari, West Bengal 713146",,https://www.google.co.in/intl/en/about/products?tab=lh,3.9,354,Restaurant,,·₹200–400,https://www.google.com/maps/place/OneBite+Memari/data=!4m7!3m6!1s0x39f85995ff7f2b41:0xd807aae0b61e65e2!8m2!3d23.1768182!4d88.0943249!16s%2Fg%2F11tdtk_z17!19sChIJQSt__5VZ-DkR4mUetuCqB9g?authuser=0&hl=en&rclk=1,Memari Restaurant,2025-06-27T23:05:31.063425,23.1768182,88.0943249
"HOICHOI THE ROOFTOP CAFE & RESTAURANT - BEST MULTI-CUISINE FAMILY RESTAURANT IN MEMARI | INDIAN, CHINESE, TANDOORI, FAST FOOD"," Bus Stand Building, New, opp. HDFC Bank, Memari, West Bengal 713146",097495 36808,https://www.facebook.com/hoichoimemari/,3.7,185,Family restaurant,,·₹200–400,"https://www.google.com/maps/place/HOICHOI+THE+ROOFTOP+CAFE+%26+RESTAURANT+-+BEST+MULTI-CUISINE+FAMILY+RESTAURANT+IN+MEMARI+%7C+INDIAN,+CHINESE,+TANDOORI,+FAST+FOOD/data=!4m7!3m6!1s0x39f8598b72ada73b:0x3ec06af207f7356b!8m2!3d23.1768451!4d88.0943245!16s%2Fg%2F11krty4svc!19sChIJO6etcotZ-DkRazX3B_JqwD4?authuser=0&hl=en&rclk=1",Memari Restaurant,2025-06-27T23:08:08.682549,23.1768451,88.0943245
Ahare Bangali," Grand Trunk Rd, near LIC Office, opp. of Style Bazar, Memari, West Bengal 713146",082502 77734,https://www.swiggy.com/city/bardhaman/ahare-bangali-memari-tarkeswar-rd-bardhaman-rest870392?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.0,630,Indian restaurant,,,https://www.google.com/maps/place/Ahare+Bangali/data=!4m7!3m6!1s0x39f8596521d4eaf9:0x1dee1a3153ce03f5!8m2!3d23.1709679!4d88.0958105!16s%2Fg%2F11s8zcqjtz!19sChIJ-erUIWVZ-DkR9QPOUzEa7h0?authuser=0&hl=en&rclk=1,Memari Restaurant,2025-06-27T23:08:16.111554,23.1709679,88.0958105
Zaika Restaurant," More, Chak Dighi Rd, beside Dena Bank, Memari, West Bengal 713146",094741 77770,https://www.facebook.com/zaika.memari/,3.9,354,Indian restaurant,,·₹200–400,https://www.google.com/maps/place/Zaika+Restaurant/data=!4m7!3m6!1s0x39f859f0a72d919b:0x3da208f501481ad8!8m2!3d23.1690514!4d88.0998262!16s%2Fg%2F11clsp8gy5!19sChIJm5Etp_BZ-DkR2BpIAfUIoj0?authuser=0&hl=en&rclk=1,Memari Restaurant,2025-06-27T23:10:22.752150,23.1690514,88.0998262
Kitchen 26," Tip Top Market, near Smart Bazar, Memari, West Bengal 713146",090027 16026,https://www.google.co.in/intl/en/about/products?tab=lh,4.6,11,Restaurant,,·₹200–400,https://www.google.com/maps/place/Kitchen+26/data=!4m7!3m6!1s0x39f859d1ba6d2b33:0x92d22efe361c1a40!8m2!3d23.1762666!4d88.0937243!16s%2Fg%2F11lp0k7_5b!19sChIJMyttutFZ-DkRQBocNv4u0pI?authuser=0&hl=en&rclk=1,Memari Restaurant,2025-06-27T23:10:29.440334,23.1762666,88.0937243
