name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
Lemon Grass Durgapur," SUHATTA MALL, 6/13, Shahid Khudiram Sarani, City Center, Durgapur, West Bengal 713216",074074 75555,https://lemongrassrestaurant.in/,3.9,1938,Chinese restaurant,,·₹₹,https://www.google.com/maps/place/Lemon+Grass+Durgapur/data=!4m7!3m6!1s0x39f7721b297cc307:0x37bb576b740b03c6!8m2!3d23.5371313!4d87.2944683!16s%2Fg%2F11dxjv9368!19sChIJB8N8KRty9zkRxgMLdGtXuzc?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:46:54.264488,23.5371313,87.2944683
Barbeque Nation - Durgapur," First floor, Pushpanjali Building, Shahid Khudiram Sarani, City Center, Durgapur, West Bengal 713216",080 6902 8735,https://www.barbequenation.com/restaurants/durgapur/durgapur?utm_source=GMB&utm_medium=durgapur&utm_campaign=GMB_durgapur,3.9,1938,North Indian restaurant,,"·₹800–1,000",https://www.google.com/maps/place/Barbeque+Nation+-+Durgapur/data=!4m7!3m6!1s0x39f773bdaa43fd53:0x4f133978069b4bb4!8m2!3d23.5383091!4d87.2938036!16s%2Fg%2F11fj3m1mn0!19sChIJU_1Dqr1z9zkRtEubBng5E08?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:47:02.074026,23.5383091,87.2938036
D16," Bhagat Singh Marg, C-Zone, Durgapur, West Bengal 713205",062949 76932,http://www.d16.co.in/,4.1,3055,Restaurant,,·₹200–400,https://www.google.com/maps/place/D16/data=!4m7!3m6!1s0x39f76f87b4bfcb7d:0x77cf094eacdb027c!8m2!3d23.5513029!4d87.3131214!16s%2Fg%2F11trrdpm5h!19sChIJfcu_tIdv9zkRfALbrE4Jz3c?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:47:08.674032,23.5513029,87.3131214
"Margarita , Durgapur"," Next HDFC ATM, Abanindranath, Aayakar Bithi, next to Big Bazaar, City Center, Durgapur, West Bengal 713216",080160 64888,https://www.swiggy.com/city/durgapur/chinese-bowls-by-marga-rita-cafe-city-centre-city-centre-rest1079363?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.1,3055,Italian restaurant,,·₹200–400,"https://www.google.com/maps/place/Margarita+,+Durgapur/data=!4m7!3m6!1s0x39f77169c8d68bf9:0xcd923bc9470f43e1!8m2!3d23.5372618!4d87.2973918!16s%2Fg%2F11qg99_wgx!19sChIJ-YvWyGlx9zkR4UMPR8k7ks0?authuser=0&hl=en&rclk=1",Durgapur Restaurant,2025-06-27T20:47:14.505143,23.5372618,87.2973918
Bhooter Raja Dilo Bor - Durgapur," Rajkutir, A3, Satyajit Roy Sarani, Doctor's Colony, City Center, Durgapur, West Bengal 713216",,https://bhooterrajadilobor.com/,4.4,1860,Bengali restaurant,,·₹₹,https://www.google.com/maps/place/Bhooter+Raja+Dilo+Bor+-+Durgapur/data=!4m7!3m6!1s0x39f7733f5a60a3e1:0x8ffd3d64c9958c04!8m2!3d23.5384063!4d87.2991178!16s%2Fg%2F11txp97v1h!19sChIJ4aNgWj9z9zkRBIyVyWQ9_Y8?authuser=0&hl=en&rclk=1,Durgapur Restaurant,2025-06-27T20:49:51.592348,23.5384063,87.2991178
